Data da Pesquisa,Video ID,Channel Title,Title,Published At,Tags,Thumbnails,Category ID,Duration,View Count,Like Count,Dislike Count,Comment Count
12/05/2024,4Ho4RJsIdvM,TBJZL,SPEED TRIES BRITISH SNACKS,2024-05-11T19:46:03Z,"TOBJIZZLE,Tobi,Jizzle,Tobjizzle,Tobijizzle,tbjzl,Toby,editingaming,xbox 360",https://i.ytimg.com/vi/4Ho4RJsIdvM/default.jpg,24,PT18M49S,668587,45487,0,927
12/05/2024,S_EgYvz-XII,rekrap2,No Armor Hardcore - Episode 3 - The Nether,2024-05-11T13:30:06Z,Minecraft,https://i.ytimg.com/vi/S_EgYvz-XII/default.jpg,20,PT22M58S,316758,19326,0,1287
12/05/2024,Cps2uyxo1eM,Nightcap,Shannon Sharpe reacts to Shaquille O'Neal calling Unc out for criticizing Jokic interview | Nightcap,2024-05-10T13:00:10Z,"Nightcap,Shannon Sharpe,Ochocinco,Chad Johnson,Chad Ochocinco,Club Shay Shay,Nightcap Podcast,Shannon Sharpe Podcast,Ochocinco Podcast,Gilbert Arenas,Gil Arenas,Gil Arenas Podcast,Gil Arenas Show",https://i.ytimg.com/vi/Cps2uyxo1eM/default.jpg,17,PT16M40S,807186,23218,0,8098
12/05/2024,X9G7Md8QI4k,JRE Clips,"Mike Tyson is ""Terrifying"" Ahead of Jake Paul Fight",2024-05-10T17:00:31Z,"Joe Rogan,JRE,Joe Rogan Experience,JRE Clips,PowerfulJRE,Joe Rogan Fan Page,Joe Rogan Podcast,podcast,MMA,Joe Rogan MMA Show,UFC,comedy,comedian,stand up,funny,clip,favorite,best of",https://i.ytimg.com/vi/X9G7Md8QI4k/default.jpg,22,PT14M27S,1951338,26549,0,5477
12/05/2024,7pMrssIrKcY,Gamers Nexus,ASUS Scammed Us,2024-05-11T00:49:24Z,"gamersnexus,gamers nexus,computer hardware,asus scam,asus warranty,asus rma,asus motherboard,asus motherboard warranty,asus,asus rog,asus rog ally,asus ally z1x,asus ally x,asus rog ally warranty,asus rog ally microsd card,asus ally sd card,asus ally thumbstick,asus ally joystick,asus ally joystick drifting,customer induced damage,warranty fraud,magnuson-moss act,louis rossmann",https://i.ytimg.com/vi/7pMrssIrKcY/default.jpg,20,PT29M36S,879469,67899,0,12058
12/05/2024,SQ1yPMTIwCU,JYP Entertainment,"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V",2024-05-10T04:00:01Z,"JYP Entertainment,Stray Kids,스트레이 키즈,SKZ,스키즈,방찬,BANG CHAN,리노,LEE KNOW,창빈,서창빈,CHANGBIN,SEOCHANGBIN,현진,황현진,HYUNJIN,HWANGHYUNJIN,한,한지성,HAN,HANJISUNG,필릭스,FELIX,용복,이용복,승민,김승민,SEUNGMIN,KIMSEUNGMIN,아이엔,양정인,I.N,YANGJEONGIN,stray kids comeback,스트레이 키즈 컴백,스키즈 컴백,skz comeback,skz,lose my breath,stray kids lose my breath,skz lose my breath,stray kids charlie puth,skz charlie puth,스키즈 찰리푸스,skz mv,lose my breath mv,스키즈 뮤비,스트레이키즈 뮤비,스키즈 lose my breath 뮤비",https://i.ytimg.com/vi/SQ1yPMTIwCU/default.jpg,10,PT2M53S,14654552,1000461,0,118298
12/05/2024,K4QzrXhurN0,SMTOWN,aespa 에스파 'Supernova' MV Teaser,2024-05-11T15:00:15Z,"aespa,에스파,æspa,teaser,티저,mv,music video,뮤직비디오,카리나,지젤,윈터,닝닝,KARINA,GISELLE,WINTER,NINGNING,슈퍼노바,수퍼노바,아마겟돈,supernova,armageddon",https://i.ytimg.com/vi/K4QzrXhurN0/default.jpg,10,PT30S,1216570,141113,0,6160
12/05/2024,swVqSElGaHI,JJ Olatunji,I HAVE RETURNED!,2024-05-10T17:55:38Z,,https://i.ytimg.com/vi/swVqSElGaHI/default.jpg,24,PT17M42S,1371198,103446,0,4187
12/05/2024,AJZIwDbJxPA,DaFuq!?Boom!,skibidi toilet 73 (full episode),2024-05-10T00:30:08Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",https://i.ytimg.com/vi/AJZIwDbJxPA/default.jpg,24,PT9M41S,18992647,730899,0,57783
12/05/2024,jBlC5AOYoBs,Tee Grizzley,Tee Grizzley - Swear to God (Feat. Future) [Official Video],2024-05-10T04:00:06Z,"Tee Grizzley,2 Vaults,Activated,Hip Hop,From The D To The A,Detroit,TeeGrizzley,Jettski Grizzley,Bloodas,Rap,First Day Out,TGrizzly,Jetski Grizzley,Trap,Tgrizzley,Tee Grizzley - Swear to God (Feat. Future) [Official Video],Tee Grizzley Swear to God ft Future,Swear to God Tee Grizzley ft Future,swear to god tee grizzley ft future,tee grizzley ft future swear to god,swear to god tee grizzley,tee grizzley swear to god,swear to god,tee grizzley future,future",https://i.ytimg.com/vi/jBlC5AOYoBs/default.jpg,10,PT3M5S,682933,42056,0,1975
12/05/2024,zlFH3aC7Z_c,How Ridiculous,How Far Will This Roll Down A Mountain?,2024-05-10T22:00:39Z,"how ridiculous,rexy,44club",https://i.ytimg.com/vi/zlFH3aC7Z_c/default.jpg,17,PT17M13S,594343,24506,0,1417
12/05/2024,c2aO11sFFlI,DARK MOON by HYBE,ENHYPEN (엔하이픈) 'Fatal Trouble' Official MV Teaser | DARK MOON SPECIAL ALBUM 'MEMORABILIA',2024-05-11T15:00:02Z,,https://i.ytimg.com/vi/c2aO11sFFlI/default.jpg,24,PT17S,354400,83943,0,5204
12/05/2024,WJW-VvmRKsE,Charli XCX,Charli XCX - 360 (Official Video),2024-05-10T04:00:06Z,"charli xcx,charli xcx - von dutch,von dutch - charli xcx,charli xcx brat,brat charli xcx,charli xcx cult classic,von dutch addison rae remix,charli xcx addison rae remix,charli xcx addison rae,charli xcx 360,360 charli xcx,360 - charli xcx,charli xcx - 360,charli xcx rachel sennott,charli xcx julia fox,charli xcx gabbriette,charli xcx chloe cherry,charli xcx richie shazam,charli xcx b2b,brb charli xcx,charli xcx club classics,club classics charli xcx",https://i.ytimg.com/vi/WJW-VvmRKsE/default.jpg,10,PT4M25S,1036637,78574,0,3646
12/05/2024,GdE8rGHMsgU,On The Radar Radio,"The Sheff G ""On The Radar"" Freestyle",2024-05-10T18:00:06Z,"on the radar,off the radar,on the radar radio,freestyle,live performance,on the radar freestyle,off the radar freestyle,otr freestyle",https://i.ytimg.com/vi/GdE8rGHMsgU/default.jpg,10,PT2M15S,217532,17247,0,926
12/05/2024,ahDb2CJZV9I,Telanthric,I Used CLOCK UNITS Early!! (Toilet Tower Defense),2024-05-11T15:33:41Z,,https://i.ytimg.com/vi/ahDb2CJZV9I/default.jpg,20,PT8M5S,777250,25557,0,4274
12/05/2024,NzKNCn0SunA,TVLine,Young Sheldon 7x12 | George Dies,2024-05-10T01:01:00Z,"TVLine,Michael Ausiello,young sheldon,Lance Barber,Zoe Perry,young sheldon season 7,young sheldon finale,young sheldon george,young sheldon mary,young sheldon george and mary,big bang theory,the big bang theory,tbbt,sheldon cooper,cbs,tv,tv news,television,interview,season 7,young sheldon final episode,young sheldon final season,2024,young sheldon season 7 episode 11,young sheldon season 7 episode 12,episode 7,episode 12,young sheldon george dies",https://i.ytimg.com/vi/NzKNCn0SunA/default.jpg,24,PT9M23S,1889496,13034,0,1646
12/05/2024,ALM72lthdjE,Peso Pluma,"LA DURANGO (Lyric Video) - Peso Pluma, Junior H, Eslabón Armado",2024-05-10T00:02:31Z,"Peso Pluma,Eslabón Armado,Junior H,PP,Doble P,Double P,Junior,corridos,música mexicana,La Durango,Prajin,Prajin Music,Double P Records",https://i.ytimg.com/vi/ALM72lthdjE/default.jpg,10,PT4M23S,1618529,107769,0,5909
12/05/2024,cOHBlzP-rDY,Karl Jobst,How One Cheater Changed Super Mario Maker History,2024-05-11T00:10:01Z,,https://i.ytimg.com/vi/cOHBlzP-rDY/default.jpg,20,PT15M29S,366087,22964,0,2169
12/05/2024,NTpbbQUBbuo,HozierVEVO,Hozier - Too Sweet (Official Video),2024-05-10T18:00:08Z,"too sweet hozier,unheard,you're too sweet for me,wildflower and barley,take my whiskey neat,hozier new song,fare well,hozier tiktok,empire now,hozier whiskey song,Hozier,Too Sweet",https://i.ytimg.com/vi/NTpbbQUBbuo/default.jpg,10,PT4M9S,618188,44980,0,1158
12/05/2024,xKEY6THtwuA,Shoreline Mafia,Shoreline Mafia - HEAT STICK (OHGEESY & FENIX FLEXIN)  [Official Music Video],2024-05-10T02:00:07Z,"Shoreline Mafia,ShoreLineDoThatShiT,OTX,Musty,Drakeo,The Ruler 03 Greedo,Atlantic Records,Hip Hop,Rap,traplantic,ohgeesy,master kato,fenix,rob vicious,nun major,Shoreline Mafia Mafia Bidness,Shoreline Mafia Bidness,Mafia Bidness,Shoreline Mafia lbum,Shore line,hyphy,hyphy music,Cali rap,California rap,cali hip hop",https://i.ytimg.com/vi/xKEY6THtwuA/default.jpg,10,PT2M18S,377281,40248,0,3098
12/05/2024,2JTBSa7XsjE,STUDIO CHOOM [스튜디오 춤],'Trendsetter' X 'HUMBLE.' covered by ENHYPEN NI-KI(니키) | May 2024 | Artist Of The Month (4K),2024-05-10T13:00:02Z,"M2,엠투,스튜디오 춤,스춤,Studio choom,COVERS,커버스,DANCE THE X,댄스 더 엑스,댄스,DANCE,비 오리지널,BE ORIGINAL,커버,COVER,Artist Of The Month,AOTM,Drop the dance,드롭더댄스,Mix & Max,믹스앤맥스,믹앤맥,엔하이픈,엔하이픈 니키,ni-ki,enhypen,enhypen ni-ki,aotm ni-ki,ni-ki aotm,artist of the month,아오먼,아오먼 니키,니키 아오먼,니키 엔하이픈,trendsetter,humble,kendrick lamar humble,connor price,켄드릭라마",https://i.ytimg.com/vi/2JTBSa7XsjE/default.jpg,24,PT3M12S,2859572,348991,0,25720
12/05/2024,nXia20jA4tI,Dr.Tamitha Skov,"An Extreme G4 Solar Storm Train, Eight Storms Race to Earth | Space Weather Spotlight 10 May 2024",2024-05-10T19:43:42Z,"space weather,GPS,amateur radio,aurora,photography,astronaut,NASA",https://i.ytimg.com/vi/nXia20jA4tI/default.jpg,25,PT20M50S,264120,9811,0,1090
12/05/2024,D_HIsjhzuro,Grind Hard Plumbing Co,Can the Monster Chopper Hill Climb?,2024-05-10T19:30:01Z,"hill climb racing,chopper bike,hill climb,hill climb motocross,hill climb monsters,monster chopper,off road chopper,chopper motorcycle,chopper motorcycle off roading,chopper motorcycle build,chopper motorcycle sound,chopper motorcycle ride,grind hard plumbing co",https://i.ytimg.com/vi/D_HIsjhzuro/default.jpg,2,PT40M15S,597543,26945,0,2343
12/05/2024,bkWCBKcZYEI,gabi belle,Gen Alpha vs Gen Z is so dumb,2024-05-10T17:00:17Z,"gabi belle,commentary",https://i.ytimg.com/vi/bkWCBKcZYEI/default.jpg,23,PT16M41S,417065,26408,0,2729
12/05/2024,3sqqBjGByXI,TIVEVO,"T.I., & YoungBoy Never Broke Again - LLOGCLAY [Official Music Video]",2024-05-10T16:00:06Z,"#TI,#YoungBoyNeverBrokeAgain,#NBAyoungBoy,#LLOGClay,#YoungBoy,#NeverBroke Again,#OfficialVideo,#RapVideo,#RapMusicVideo,#HipHopMusic,#RapSong",https://i.ytimg.com/vi/3sqqBjGByXI/default.jpg,10,PT3M44S,209092,17758,0,1131
12/05/2024,VbsKll8ikCs,DEATH BATTLE!,Is DEATH BATTLE dead???,2024-05-10T18:00:14Z,"DEATH BATTLE,Rooster Teeth,DBX,DEATH BATTLE Cast,screwattack,deathbattle,roosterteeth,savedeathbattle,red vs blue,ben singer,chad james",https://i.ytimg.com/vi/VbsKll8ikCs/default.jpg,24,PT1M5S,246555,25000,0,2076
12/05/2024,_23MbK9QLd0,Euphoric Brothers,Garten of Banban 8 - Official Teaser Trailer,2024-05-10T14:05:19Z,"garten of banban devlog,garten of banban ending,poppy playtime,garten of banban gameplay,garten of banban game,garten of banban bosses,garten of banban,garten of banban trailer,garten of banban teaser,garten of banban 7 teaser,garden of banban,garden of banban gameplay,garden of banban trailer,garten of banban 7,garten of banban 7 gameplay,garten of banban 5,garten of banban 8 gameplay,garten of banban 8 teaser,garten of banban 8 trailer,garden of banban 8",https://i.ytimg.com/vi/_23MbK9QLd0/default.jpg,20,PT1M15S,1739703,56371,0,6213
12/05/2024,gnvW3fY3gyg,Young Sheldon,Young Sheldon Series Finale Preview,2024-05-10T16:07:16Z,"the young sheldon,young sheldon,CBS Comedy,young sheldon cast,young sheldon trailer,young sheldon cooper,young sheldon show,young sheldon tv show,cbs young sheldon,Jim Parsons,CBS,Iain Armitage,Zoe Perry,Lance Barber,CBS Sitcom",https://i.ytimg.com/vi/gnvW3fY3gyg/default.jpg,24,PT2M10S,124186,1743,0,146
12/05/2024,h452os46-xo,morgans vlogs,I have a lot to say...,2024-05-10T17:59:12Z,"morgan,Morgans vlogs,Morgan adams,Ryland adams,Morgan Adams vlogs,demo,my house tour,diy,vlogmas,shane,renovations,Morgan house renovations,vlog,competition,family channel,Ryland Shane morgan,christmas,vlogger,Morgan and trinity,grwm,overshare about my life,addressing my weight loss,weight loss,weight loss journey,andrew and garrett,adhd medication,adhd,adhd journey,mental health,assumptions about me",https://i.ytimg.com/vi/h452os46-xo/default.jpg,22,PT34M3S,162703,10513,0,2063
12/05/2024,OQH886xgcY0,J abdiel,"WYA REMIX BLUE 🔵 - (Video Oficial) J Abdiel, IZaak, Hades 66, Corina Smith, Miky Woodz",2024-05-10T04:00:07Z,,https://i.ytimg.com/vi/OQH886xgcY0/default.jpg,10,PT4M51S,1378903,58836,0,1662
12/05/2024,ywWwUuWRgsM,Nerrel,Recompilation: An Incredible New Way to Keep N64 Games Alive,2024-05-10T21:45:58Z,"emulation,nintendo 64,preservation,pc port,decompilation,majora's mask,ray tracing,high framerates,mod,wiseguy,dario,rt64",https://i.ytimg.com/vi/ywWwUuWRgsM/default.jpg,20,PT11M13S,223420,19909,0,1748
12/05/2024,g5Ow-kFPtLI,J abdiel,"WYA REMIX RED 🔴 - (Video Oficial) J Abdiel, De La Rose, Yan Block, Jay Wheeler, IZaak",2024-05-10T04:00:07Z,"J Abdiel,De La Rose,Yan Block,Jay Wheeler,IZaak,WYA,WYA REMIX,WYA REMIX RED,2024,Latino,Latina",https://i.ytimg.com/vi/g5Ow-kFPtLI/default.jpg,10,PT5M23S,1398087,49027,0,1394
12/05/2024,E7yFvL9WBk4,Nick Pro,Stunts From KNUCKLES In Real Life (Sonic The Hedgehog),2024-05-10T13:11:51Z,"stunts from knuckles,knuckles stunts,stunts from sonic,sonic stunts,sonic stunts in real life,nick pro,nick pro parkour,knuckles,sonic the hedgehog,sonic,sonic the hedgehog 2,sonic movie,stunts in real life,in real life,sonic in real life,stunts,sonic the hedgehog movie,parkour,sonic parkour,real life,sonic the movie",https://i.ytimg.com/vi/E7yFvL9WBk4/default.jpg,17,PT9M56S,622546,5886,0,201
12/05/2024,UkA-afhxZjg,NBA,"#2 NUGGETS at #3 TIMBERWOLVES | FULL GAME 3 HIGHLIGHTS | May 10, 2024",2024-05-11T04:22:52Z,"Basketball,G League,NBA,game-0042300233",https://i.ytimg.com/vi/UkA-afhxZjg/default.jpg,17,PT9M32S,1830590,14284,0,3166
12/05/2024,2UyVehnq8Lo,CBS Sports Golazo - Europe,Bayer Leverkusen vs. Roma: Extended Highlights | UEL Semi-Finals 2nd Leg | CBS Sports Golazo,2024-05-09T21:32:49Z,,https://i.ytimg.com/vi/2UyVehnq8Lo/default.jpg,17,PT14M56S,682992,8361,0,826
12/05/2024,75JPzYvOf1s,"Ryan Hall, Y'all","The May 8, 2024 Severe Weather Outbreak, As It Happened…",2024-05-09T06:57:19Z,"live,weather,live weather channel,weather forecast,tornado,tornadoes,texas,txwx,lawx,nmwx,okwx",https://i.ytimg.com/vi/75JPzYvOf1s/default.jpg,24,PT11H54M59S,2673541,62737,0,362
12/05/2024,yyjiJWXrQ30,PearlescentMoon,Hermitcraft 10: Po Po Permit Purr Purr | Episode 14,2024-05-10T12:25:54Z,"hermitcraft season 10,hermitcraft 10,hermitcraft,minecraft hermitcraft,pearlescentmoon,minecraft lets play,Minecraft,hermitcraft pearl,hermitcraft pearlescentmoon,minecraft starter base,hermitcraft season 10 episode,permit office,minecraft 1.20,hermitcraft friends,Scar,Geminitay,Rendog,Minecraft chorus farm,hermit craft,goodtimeswithscar,hermitcraft season x,season 10,hermitcraft minecraft,hermitcraft vanilla,hc10",https://i.ytimg.com/vi/yyjiJWXrQ30/default.jpg,20,PT35M13S,208965,16599,0,841
12/05/2024,qGsQl4FQFbQ,Inheritance Machining,Half of a Great Idea,2024-05-10T14:00:44Z,"inheritance machining,inheritance,gears,gear manufacturing,gear hobbing,eureka,bronze,ratchet,involute,notching,lathe,lathe machine,milling machine,bridgeport,rotary table,forming,machine shop,machining,machinist,machine,machine learning,funny,puns,satisfying,do it yourself,storyteller,maker,cathartic,engineering,youtube,asmr,dad jokes,chamfer,chamfering,mechanism,eureka tool",https://i.ytimg.com/vi/qGsQl4FQFbQ/default.jpg,28,PT26M34S,253604,17742,0,881
12/05/2024,1nEkMeQsQnk,Fanum Live,Fanum Reunites With AMP On Stream..😂,2024-05-09T19:16:52Z,"fanum,fanumfunny,fanumstreams,fanumlive,livefanum",https://i.ytimg.com/vi/1nEkMeQsQnk/default.jpg,20,PT19M9S,657798,15981,0,469
13/05/2024,phuiiNCxRMg,SMTOWN,aespa 에스파 'Supernova' MV,2024-05-13T09:00:41Z,"aespa,에스파,æspa,mv,music video,뮤직비디오,카리나,지젤,윈터,닝닝,KARINA,GISELLE,WINTER,NINGNING,슈퍼노바,수퍼노바,아마겟돈,supernova,armageddon,뮤비",https://i.ytimg.com/vi/phuiiNCxRMg/default.jpg,10,PT3M14S,11780331,627989,0,39974
13/05/2024,HLX1HxJm5wM,ChildishGambinoVEVO,Childish Gambino - Little Foot Big Foot (Official Video) ft. Young Nudy,2024-05-13T04:00:08Z,"Childish Gambino feat. Young Nudy,Little Foot Big Foot,Childish Gambino Atavista,Donald Glover Atavista,Childish Gambino 31520,Donald Glover 31520,Childish Gambino this is america,donald glover this is america,chidlish gambino awaken my love,gilga radio,gilga radio donald glover,gilga radio childish gambino,because the internet childish gambino,new donald glover,new childish gambino music 2024,childish gambino official video",https://i.ytimg.com/vi/HLX1HxJm5wM/default.jpg,10,PT6M14S,725163,62701,0,3612
13/05/2024,89PIuXrd7lg,Steezy Kane,Not Like Us (IN PUBLIC),2024-05-13T10:44:57Z,"isaiah shepard,steezy kane,steezy,stezzy,stezzy kane,cheezy steezy,funny,comedy,drake,kendrick,kendrick lamar,drake kendrick,not like us,they not like us,not like us in public,singing in public,the heart part six,kendrick lamar in public",https://i.ytimg.com/vi/89PIuXrd7lg/default.jpg,24,PT8M16S,229284,44603,0,4210
13/05/2024,aoKL75ns_8c,Let's Game It Out,I Tricked an Entire Nation Into Surrendering to My Army of Just 11 People - Manor Lords,2024-05-12T15:00:04Z,"let's game it out,lets game it out,let game it out,let'sgameitout,letsgameitout,letgameitout,game it out,gameitout,lgio,josh let's game it out,let's game it out josh,lgio josh,josh lgio,let's game it out simulator,josh simulator,funny moments,manor lords,manor lords gameplay,manor lords game",https://i.ytimg.com/vi/aoKL75ns_8c/default.jpg,20,PT27M51S,1391791,65559,0,2135
13/05/2024,LaQu_ZmlTlc,Complex,Ice Spice Goes Sneaker Shopping With Complex,2024-05-13T14:00:16Z,"Ice Spice,Sneaker Shopping,Ice Spice Goes Sneaker Shopping,complex networks,ice spice type beat,sneakerhead,complex,complex originals,sneakers,news,entertainment,culture,complex media,sneaker shopping,goat talk,hype news,pop culture,joe la puma,sneaker collection 2024,ice spice reaction",https://i.ytimg.com/vi/LaQu_ZmlTlc/default.jpg,24,PT10M35S,183634,8242,0,648
13/05/2024,F6PqxbvOCUI,MrBeast,"Protect The Yacht, Keep It!",2024-05-11T16:00:00Z,,https://i.ytimg.com/vi/F6PqxbvOCUI/default.jpg,24,PT15M8S,54079283,2555467,0,59802
13/05/2024,vXsbxxNpeI0,Top Rank Boxing,The Dominating SKILL From Vasiliy Lomachenko Against George Kambosos! | FIGHT HIGHLIGHTS,2024-05-12T05:43:56Z,"top rank boxing,boxing,vasiliy lomachenko vs george kambosos fight highlights,vasiliy lomachenko vs george kambosos fight,vasiliy lomachenko george kambosos,vasiliy lomachenko boxing highlights,vasiliy lomachenko vs george kambosos,vasyl lomachenko,vasyl lomachenko vs george kambosos,vasyl lomachenko vs george kambosos fight,vasiliy lomachenko vs george kambosos full fight,vasiliy lomachenko,loma vs kambosos highlights,loma vs kambosos,lomachenko vs kambosos,loma",https://i.ytimg.com/vi/vXsbxxNpeI0/default.jpg,17,PT2M23S,1681705,27718,0,4659
13/05/2024,CoBgA8n0ybk,Cleetus2 McFarland,2024 Mom Prix - Mother's Day Race! WHAT A BATTLE!!!,2024-05-12T12:46:02Z,,https://i.ytimg.com/vi/CoBgA8n0ybk/default.jpg,2,PT2H3M49S,405792,27202,0,3016
13/05/2024,8vCa5R72Mmc,Laughability,I Spent 50 HOURS at RNG Games in Roblox,2024-05-13T02:39:27Z,"roblox laughability,roblox,laughability,laugh ability,laugh ability roblox,laughability youtube,roblox youtube,roblox sols rng,sols rng,50 hours rng roblox,50 hour roblox challenge,roblox challenge,laughability challenge,sols rng 50 hours,sols rng afk,sols rng hours,hades rng,anime rng,player rng,spending time at sols rng,sols rng every aura,noob to master sols rng,roblox rng games,best roblox rng game,laughability rng games,sols rng compilation",https://i.ytimg.com/vi/8vCa5R72Mmc/default.jpg,20,PT33M33S,294734,11501,0,1889
13/05/2024,1Nshwsz-f7M,MultiVersus,MultiVersus – Official The Joker “Send in the Clowns!” Gameplay Trailer,2024-05-13T12:59:24Z,"MultiVersus,Multiverses,Multiverse,Multi Versus,Joker,The Joker,Mark Hammill,Batman,Warner Bros. Games,WB Games,PFG,Player First Games,Platform Fighter,Free to play,2v2,1v1,free for all,Steam,PC,Playstation,PS5,Microsoft,Xbox Series X,Xbox Series S,Tony,WB Animation,DC Comics,Adult Swim,Cartoon Network,Iron Giant,Scooby Doo,Reindog,Tom and Jerry,Unreal 5,Powerpuff Girls,PvP,Shaggy,Bugs Bunny,The Killing Joke,The Batman Who Laughs,Dr Harleen Quinzel",https://i.ytimg.com/vi/1Nshwsz-f7M/default.jpg,20,PT1M22S,227330,12068,0,1139
13/05/2024,L9Ts6kiEAts,ZEROBASEONE,ZEROBASEONE (제로베이스원) 'Feel the POP' MV,2024-05-13T08:58:08Z,"ZEROBASEONE,제로베이스원,제베원,ZB1,ZERO BASE ONE,ZEROBASEONE official,ZERO BASE ONE official,제로즈,성한빈,김지웅,장하오,석매튜,김태래,리키,김규빈,박건욱,한유진,SUNGHANBIN,KIMJIWOONG,ZHANGHAO,SEOKMATTHEW,KIMTAERAE,RICKY,KIMGYUVIN,PARKGUNWOOK,HANYUJIN,ZEROSE",https://i.ytimg.com/vi/L9Ts6kiEAts/default.jpg,24,PT3M24S,5883764,165778,0,13103
13/05/2024,D4NkQ9z65w8,DARK MOON by HYBE,ENHYPEN (엔하이픈) 'Fatal Trouble' Official MV | DARK MOON SPECIAL ALBUM 'MEMORABILIA',2024-05-13T09:00:20Z,,https://i.ytimg.com/vi/D4NkQ9z65w8/default.jpg,24,PT2M54S,835339,196097,0,16726
13/05/2024,iHHMG9IXfMk,Avocado Animations,Kendrick Vs Drake in an Anime,2024-05-12T18:43:58Z,"Kendrick Lamar vs Drake,Drake vs Kendrick,Drake Kendrick animations,Avocado Animations Kendrick Lamar,Drake meme,BBL Drizzy,BBL Drizzy animation,Drake drama,they not like us,Meet the grahams,Anime parody,Death Note Parody",https://i.ytimg.com/vi/iHHMG9IXfMk/default.jpg,1,PT1M31S,760245,73196,0,2317
13/05/2024,8lsNJ24OAIU,Jersey Shore,Ronnie Meets Sammi's Boyfriend 😬 Jersey Shore: Family Vacation,2024-05-13T16:00:05Z,"fights jersey shore family vacation,Best Moments Jersey Shore,jersey shore,angelina jersey shore,chris jersey shore,throwback,Jersey Shore: Family Vacation,MTV,Jersey Shore,Jersey Shore Ranked,compilation,Top Moments,TBT,Deena,Sammi,Snookie,Ronnie,mike,the situation,Vinny,JS,Jenni,DJ Pauly D,seaside,jersey shore: family vacation,Angelina jersey shore,jersey shore full episode,jersey shore family vacation full episode,season 7,jersey shore season 7,full episode",https://i.ytimg.com/vi/8lsNJ24OAIU/default.jpg,24,PT6M16S,98636,2362,0,418
13/05/2024,ZPkzX5PCNFg,Donut,We Infiltrated the PT Cruiser Community,2024-05-13T15:00:33Z,"donut,donut media,cars,james pumphrey,up to speed,moneypit",https://i.ytimg.com/vi/ZPkzX5PCNFg/default.jpg,2,PT15M41S,573968,35578,0,3039
13/05/2024,76QV2SrSqgo,Duke University,Jerry Seinfeld | Duke's 2024 Commencement Address,2024-05-12T18:15:21Z,,https://i.ytimg.com/vi/76QV2SrSqgo/default.jpg,27,PT16M52S,241770,5344,0,785
13/05/2024,FaiAIkMQhMQ,DougDougDoug,I downloaded Microsoft Flight Sim (NOT CLICKBAIT),2024-05-12T19:00:06Z,"DougDoug,DougDoug's Leftovers,DougDoug Youtube,DougDoug second channel,dougdoug stream highlights,dougdoug twitch,dougdoug twitch highlights,dougdoug stream,twitch,twitch chat,twitch plays,DougDougDoug,DougDougDoug Youtube,microsoft flight sim,flight simulator",https://i.ytimg.com/vi/FaiAIkMQhMQ/default.jpg,20,PT16M46S,425466,31095,0,1391
13/05/2024,qLsgDzpewII,AntsCanada,What Happened After Creating a Storm In My Giant Rainforest Vivarium,2024-05-12T15:39:04Z,"ants,pets,terrarium,ant farm,antfarm,antscanada,animals,insects,exotic pets,myrmecology,science,education,ecosystem",https://i.ytimg.com/vi/qLsgDzpewII/default.jpg,15,PT30M12S,501874,28429,0,3811
13/05/2024,ixLskmHQFl4,Big Beak Entertainment,Fallout 4 is great and I'm tired of pretending it's not,2024-05-12T16:00:28Z,"Fallout 4,fallout,big beak entertainment,fallout 4 funny,is fallout 4 good?,how to play fallout 4,fallout 4 release,fallout 4 summary,big beak fallout 4",https://i.ytimg.com/vi/ixLskmHQFl4/default.jpg,20,PT33M21S,241804,17244,0,1741
13/05/2024,EPbVUR6Y83k,James Hoffmann,The KinGrinder P1: Why A Cheap Hand Grinder Has Me A Little Excited,2024-05-13T15:30:04Z,"james hoffmann,james hoffman,jimseven,coffee",https://i.ytimg.com/vi/EPbVUR6Y83k/default.jpg,24,PT17M32S,199772,11187,0,975
13/05/2024,dnxcaQNN9d4,Settled,I've survived 186 hours with 1 HP on Runescape,2024-05-12T19:28:42Z,"Mory,Morytania,Area,Maxing,Max,OSRS,UIM,End,Game,Ultimate,Ironman,Old,School,Runescape,RS3,Settled,Settledrs,Progress,Video,Tricks,Tips,Bossing,Skilling,2007,2007Scape,Dream,Gear,Items,Boss,Episode,Settled UIM,UIM Settled,OSRS Settled,Morytania UIM,Morytania Ironman,Mory Ironman,Maxed UIM,UIM Maxing",https://i.ytimg.com/vi/dnxcaQNN9d4/default.jpg,20,PT16M28S,374240,19359,0,872
13/05/2024,_JWGVXtbRPk,Diesel Creek,Cleaning up an Abandon Barn! (Rotting for 10+ years),2024-05-12T11:22:52Z,"Barn,Farm,heavy equipment,construction,digger,diesel,Cummins,homestead,building,caterpillar,cat,Volvo,JCB,case,excavator,loader,outdoors,nature,freedom,green,Enviromental,hippie,old soul,farm,woods,forest,Farming,Komatsu,cows,livestock,USA,America",https://i.ytimg.com/vi/_JWGVXtbRPk/default.jpg,2,PT51M,404828,49233,0,1851
